iter	Passed	Remaining
375	400169	664111
376	401001	662662
377	401874	661284
378	402796	659990
379	403673	658624
380	404446	657093
381	405369	655807
382	406225	654415
383	407117	653084
384	407963	651682
385	408828	650313
386	409686	648935
387	410574	647606
388	411327	646070
389	412262	644821
390	413167	643526
391	414301	642590
392	415242	641354
393	416219	640174
394	417180	638972
395	418152	637787
396	419163	636663
397	420203	635584
398	421205	634448
399	422217	633326
400	423136	632066
401	423985	630705
402	424974	629552
403	425862	628251
404	426797	627023
405	427894	626032
406	428731	624662
407	429608	623353
408	430471	622025
409	431413	620815
410	432342	619586
411	433200	618257
412	434064	616938
413	434866	615535
414	435767	614274
415	436594	612911
416	437443	611581
417	438346	610329
418	439199	609009
419	440084	607736
420	441008	606517
421	441929	605297
422	442807	604019
423	443620	602654
424	444489	601367
425	445323	600036
426	446188	598749
427	446990	597379
428	447889	596142
429	448758	594865
430	449617	593578
431	450488	592309
432	451406	591103
433	452287	589849
434	453149	588573
435	454022	587313
436	454902	586064
437	455784	584819
438	456624	583522
439	457399	582145
440	458291	580917
441	459141	579640
442	459913	578266
443	460748	576973
444	461624	575734
445	462510	574508
446	463333	573206
447	464179	571935
448	464985	570616
449	465800	569311
450	466602	567992
451	467508	566802
452	468656	565905
453	469584	564742
454	470523	563593
455	471491	562481
456	472448	561355
457	473379	560199
458	474324	559061
459	475327	557992
460	476314	556905
461	477265	555777
462	478187	554614
463	479143	553493
464	480109	552384
465	481069	551268
466	481976	550093
467	482953	548998
468	484058	548049
469	484894	546795
470	485744	545560
471	486518	544241
472	487371	543012
473	488187	541744
474	489037	540515
475	490124	539548
476	491236	538609
477	492370	537693
478	493391	536652
479	494457	535662
480	495398	534535
481	496251	533315
482	497050	532039
483	497930	530851
484	498779	529631
485	499647	528433
486	500511	527233
487	501358	526015
488	502084	524672
489	502989	523520
490	503918	522392
491	504797	521213
492	505631	519990
493	506437	518739
494	507309	517557
495	508096	516292
496	508948	515092
497	509786	513881
498	510633	512680
499	511479	511479
500	512312	510267
501	513156	509067
502	514043	507911
503	514809	506637
504	515726	505513
505	516566	504315
506	517511	503220
507	518495	502165
508	519441	501072
509	520316	499912
510	521280	498838
511	522203	497724
512	523245	496726
513	524232	495675
514	525121	494531
515	526016	493394
516	526947	492293
517	527806	491124
518	528632	489927
519	529532	488799
520	530385	487628
521	531255	486475
522	531974	485184
523	532782	483978
524	533555	482740
525	534386	481557
526	535250	480405
527	536050	479196
528	536887	478022
529	537709	476836
530	538569	475685
531	539453	474557
532	540321	473414
533	541214	472295
534	542098	471169
535	542936	470004
536	543788	468852
537	544633	467696
538	545474	466537
539	546373	465429
540	547312	464355
541	548195	463235
542	549131	462160
543	550017	461044
544	550901	459927
545	551663	458709
546	552547	457594
547	553365	456425
548	554224	455291
549	555097	454170
550	555952	453035
551	556826	451917
552	557687	450788
553	558544	449658
554	559700	448769
555	560561	447642
556	561427	446521
557	562313	445417
558	563140	444266
559	564147	443258
560	565056	442174
561	565941	441072
562	566771	439927
563	567890	439007
564	568751	437888
565	569604	436763
566	570474	435653
567	571322	434526
568	572139	433377
569	573040	432293
570	573910	431186
571	574742	430052
572	575826	429106
573	576706	428008
574	577568	426898
575	578366	425742
576	579241	424642
577	580133	423557
578	580955	422422
579	581866	421351
580	582859	420340
581	583693	419216
582	584523	418089
583	585325	416944
584	586114	415790
585	586898	414634
586	587754	413530
587	588663	412464
588	589525	411366
589	590443	410307
590	591367	409254
591	592232	408160
592	593209	407143
593	594186	406127
594	595153	405104
595	595921	403946
596	596852	402900
597	597904	401935
598	598822	400881
599	599747	399831
600	600712	398809
601	601674	397784
602	602993	396995
603	603983	395988
604	604941	394961
605	605843	393898
606	606902	392936
607	607984	391990
608	609344	391221
609	610492	390314
610	611552	389351
611	612490	388310
612	613355	387224
613	614271	386170
614	615077	385048
615	615940	383962
616	616758	382850
617	617504	381693
618	618377	380616
619	619230	379528
620	620097	378449
621	621012	377400
622	621791	376268
623	622691	375211
624	623534	374120
625	624426	373059
626	625351	372019
627	626254	370965
628	626922	369774
629	627821	368720
630	628633	367616
631	629462	366522
632	630302	365435
633	631110	364331
634	632003	363277
635	632749	362139
636	633686	361111
637	634545	360039
638	635421	358978
639	636291	357914
640	637421	356995
641	638444	356017
642	639483	355047
643	640597	354119
644	641625	353142
645	642602	352138
646	643568	351127
647	644571	350137
648	645498	349106
649	646405	348064
650	647322	347028
651	648505	346135
652	649608	345197
653	650725	344267
654	651735	343280
655	652951	342401
656	653889	341375
657	654871	340374
658	655856	339373
659	656998	338453
660	657936	337428
661	658875	336404
662	659795	335371
663	660709	334335
664	661622	333298
665	662575	332282
666	663465	331235
667	664261	330141
668	665106	329073
669	665943	328002
670	666922	327000
671	667732	325916
672	668617	324870
673	669423	323786
674	670353	322762
675	671475	321831
676	672433	320821
677	673303	319769
678	674169	318716
679	675061	317676
680	675871	316597
681	676682	315520
682	677653	314518
683	678638	313523
684	679648	312538
685	680593	311525
686	681493	310491
687	682605	309553
688	683596	308560
689	684556	307554
690	685470	306527
691	686429	305520
692	687412	304524
693	688273	303474
694	689116	302417
695	689950	301357
696	690803	300306
697	691671	299261
698	692595	298242
699	693473	297202
700	694275	296131
701	695160	295096
702	696037	294058
703	696984	293050
704	697902	292030
705	698800	291001
706	699858	290040
707	700822	289039
708	701597	287961
709	702463	286921
710	703375	285900
711	704280	284877
712	705220	283868
713	706177	282866
714	707178	281882
715	708164	280891
716	709188	279916
717	710213	278941
718	711133	277925
719	711982	276882
720	712852	275847
721	713672	274793
722	714474	273733
723	715395	272719
724	716226	271672
725	717111	270645
726	717967	269608
727	718740	268540
728	719716	267548
729	720704	266561
730	721629	265551
731	722467	264510
732	723385	263497
733	724292	262482
734	725139	261444
735	725956	260397
736	726867	259384
737	727811	258382
738	728697	257361
739	729587	256341
740	730479	255322
741	731328	254289
742	732311	253302
743	733106	252251
744	733984	251229
745	734939	250234
746	735814	249211
747	736732	248203
748	737553	247164
749	738336	246112
750	739164	245075
751	740049	244058
752	740971	243054
753	741868	242041
754	742777	241033
755	743650	240014
756	744487	238983
757	745371	237968
758	746222	236942
759	747058	235913
760	747922	234893
761	748791	233874
762	749614	232842
763	750481	231824
764	751287	230787
765	752151	229769
766	752972	228738
767	753975	227763
768	754942	226777
769	755838	225769
770	756769	224773
771	757695	223775
772	758693	222798
773	759731	221833
774	760604	220820
775	761536	219824
776	762425	218817
777	763331	217814
778	764203	216802
779	765065	215787
780	765925	214772
781	766618	213712
782	767496	212703
783	768391	211699
784	769229	210680
785	770042	209655
786	770877	208636
787	771740	207625
788	772644	206625
789	773448	205600
790	774244	204572
791	775145	203573
792	776000	202562
793	776845	201549
794	777668	200530
795	778553	199528
796	779376	198511
797	780452	197558
798	781481	196592
799	782465	195616
800	783432	194635
801	784421	193660
802	785561	192721
803	786578	191752
804	787560	190775
805	788511	189790
806	789400	188791
807	790335	187802
808	791302	186821
809	792310	185850
810	793278	184870
811	794258	183892
812	795287	182926
813	796251	181944
814	797186	180956
815	798131	179970
816	798986	178965
817	799878	177967
818	800668	176948
819	801557	175951
820	802436	174952
821	803231	173935
822	804148	172945
823	805013	171944
824	805855	170939
825	806667	169927
826	807602	168942
827	808525	167954
828	809410	166959
829	810362	165977
830	811284	164990
831	812156	163993
832	813175	163025
833	814131	162045
834	815080	161063
835	816069	160090
836	817057	159116
837	818031	158139
838	818953	157153
839	819909	156173
840	820894	155198
841	821845	154218
842	822849	153247
843	823645	152237
844	824520	151243
845	825374	150245
846	826190	149241
847	827069	148248
848	828028	147270
849	828902	146276
850	829740	145277
851	830644	144290
852	831476	143290
853	832342	142297
854	833255	141312
855	834107	140317
856	834970	139324
857	835890	138340
858	836743	137346
859	837649	136361
860	838485	135365
861	839343	134372
862	840162	133374
863	841229	132415
864	842019	131413
865	842925	130429
866	843850	129448
867	844776	128468
868	845712	127489
869	846567	126498
870	847447	125511
871	848337	124526
872	849341	123558
873	850272	122579
874	851150	121592
875	852030	120607
876	852936	119625
877	853874	118647
878	854820	117671
879	855781	116697
880	856753	115724
881	857709	114750
882	858700	113780
883	859460	112779
884	860366	111799
885	861262	110817
886	862192	109839
887	863124	108862
888	864013	107880
889	864944	106903
890	865841	105922
891	866766	104944
892	867757	103975
893	868718	103002
894	869697	102031
895	870566	101047
896	871452	100066
897	872317	99082
898	873331	98116
899	874253	97139
900	875233	96168
901	876273	95204
902	877404	94250
903	878418	93283
904	879369	92309
905	880417	91345
906	881419	90377
907	882559	89422
908	883614	88458
909	884578	87485
910	885549	86513
911	886574	85546
912	887470	84567
913	888494	83600
914	889302	82612
915	890130	81627
916	891024	80648
917	891943	79672
918	892933	78702
919	893881	77728
920	894693	76743
921	895591	75765
922	896417	74782
923	897233	73798
924	898244	72830
925	899143	71853
926	900028	70876
927	900942	69900
928	901873	68926
929	902737	67947
930	903578	66967
931	904499	65993
932	905396	65017
933	906300	64042
934	907204	63067
935	908085	62091
936	908979	61116
937	909898	60142
938	910743	59164
939	911692	58193
940	912579	57218
941	913439	56241
942	914327	55266
943	915241	54293
944	916194	53323
945	917127	52351
946	917996	51376
947	918931	50405
948	919903	49436
949	920839	48465
950	921816	47496
951	922695	46522
952	923621	45551
953	924528	44578
954	925412	43605
955	926291	42632
956	927203	41661
957	928109	40689
958	928967	39716
959	929841	38743
960	930741	37772
961	931632	36800
962	932564	35830
963	933492	34860
964	934313	33887
965	935212	32916
966	935891	31938
967	936827	30969
968	937726	29999
969	938581	29028
970	939447	28057
971	940422	27090
972	941480	26125
973	942378	25155
974	943448	24190
975	944445	23224
976	945396	22256
977	946303	21286
978	947343	20320
979	948260	19352
980	949089	18381
981	949961	17412
982	950890	16444
983	951799	15476
984	952687	14507
985	953551	13539
986	954473	12571
987	955354	11603
988	956222	10635
989	957144	9668
990	958008	8700
991	958877	7732
992	959749	6765
993	960739	5799
994	961686	4832
995	962659	3866
996	963518	2899
997	964436	1932
998	965409	966
999	966360	0
